CUIN,Company Name,CRO Name,Company Kind,Auditor Name,Auditor Appointment Date
99382,3UNICORNS (PVT.) LIMITED,Karachi,Private Companies,SHAHID AHMAD AND COMPANY,28-Oct-17
88447,3W AIR CONS (PVT.) LIMITED,Islamabad,Private Companies,Riasat Ishtiaq And Co,25-Oct-19
87582,3W CONSULTANTS (PVT.) LIMITED,Lahore,Private Companies,Sarwars Chartered Accountants,26-Oct-19
58674,3W FIRE PROTECTIONS (PRIVATE) LIMITED,Islamabad,Private Companies,RIASAT ISHTIAQ AND CO,25-Oct-19
89088,3W GROUP (PVT.) LIMITED,Islamabad,Private Companies,Riasat Ishtiaq and Co,25-Oct-19
88446,3W PUMPS (PVT.) LIMITED,Islamabad,Private Companies,Riasat Ishtiaq And Co,27-Oct-18
52737,3W SYSTEMS (PVT.) LIMITED,Lahore,Private Companies,SARWARS CHARTERED ACCOUNTANTS,26-Oct-19
54808,4 C (PVT.) LIMITED,Lahore,Private Companies,SHAFIQ AND CO. CA (LAHORE),31-Oct-11
79442,4 CHILDREN COMMUNITY INITIATIVE,Islamabad,Associations under section 42,UMAIR BIN IDRIS,28-Oct-19
72435,4 CS MARKETING (PVT.) LIMITED,Lahore,Private Companies,RIZWAN AND CO,28-Oct-19
53528,4 EVER ENTERTAINMENT TELEVISION COMPANY (PVT.) LIMITED,Lahore,Private Companies,MUHAMMAD MUBASHAR BASHIR AND CO.,16-Jan-06
90476,4 HANDS TECHNOLOGY (PVT.) LIMITED,Lahore,Private Companies,ARMAN AND CO.,28-Oct-19
92279,4 PEEZ COMMUNICATIONS (PVT.) LIMITED,Lahore,Private Companies,"Talib Zafar Associates, Chartered Accountants",16-Mar-15
87126,4 SEASON COSMETICS (PVT.) LIMITED,Islamabad,Private Companies,Muhammad Waqas,5-Mar-14
71813,4 SQUARE COMMUNICATION (PVT.) LIMITED,Lahore,Private Companies,PHINEHAS AND CO.,28-Oct-18
89543,4 WALLS (PVT.) LIMITED,Lahore,Private Companies,A. Shahbaz and Co. Chartered Accountants,27-Oct-18
104634,4 YOU TRAVELS & TOURS (PVT.) LIMITED,Quetta,Private Companies,WAQAS AND COMPANY,28-Oct-19
107121,4-STAR ENERGY (PRIVATE) LIMITED,Lahore,Private Companies,IYAZ AHMAD AND CO.,21-Oct-19
146105,415 PESTICIDES (PRIVATE) LIMITED,Lahore,Private Companies,Ahmed Mushir and Salariya,3-Feb-20
96107,42 DAY CHALLENGE (PVT.) LIMITED,Karachi,Private Companies,RIZWANI IMTIAZ AND CO,31-Oct-17
91273,46 LABS PAKISTAN (PVT.) LIMITED,Lahore,Private Companies,SHEIKH FINANCIAL ASSOCIATES,31-Oct-18
103574,47 NEWS TV (PVT.) LIMITED,Lahore,Private Companies,ARSHAD AND CO,27-Feb-18
92889,49TH NORTH (SMC-PVT.) LIMITED,Lahore,Single Member Companies,HORWATH HUSSAIN CHAUDHRY AND CO.,28-Oct-19
52224,4B GENTEL INTERNATIONAL (PVT.) LIMITED,Lahore,Private Companies,Deloitte Yousuf Adil Chartered Accountants,27-Dec-19
57123,4B SOLUTIONS (PVT.) LIMITED,Lahore,Private Companies,AHMAD MUSHIR AND CO.,28-Oct-19
83857,4BNF (PVT.) LIMITED,Lahore,Private Companies,HAMEED CHAUDHRI AND COMPANY,31-Oct-13
94522,4D ENERGY (PVT.) LIMITED,Karachi,Private Companies,SAJID AND CO,31-Oct-18
70213,4EST DEVELOPERS (PVT.) LIMITED,Karachi,Private Companies,HASHMI AND CO.,31-Oct-14
74194,4F CHEMICALS (PVT.) LIMITED,Lahore,Private Companies,TARIQ MIR AND CO.,20-Dec-10
134150,4FOUR SEASON PREMIUM (PRIVATE) LIMITED,Lahore,Private Companies,SHEHZAD KHAN,26-May-19
113684,4G MARKETING & MANAGEMENT (PRIVATE) LIMITED,Lahore,Private Companies,IQBAL ASSOCIATES,29-Nov-17
103894,4H (PVT.) LIMITED,Lahore,Private Companies,G.Ali and Co.,28-Oct-19
54006,4M (PVT.) LIMITED,Lahore,Private Companies,IRFAN AND CO,27-Oct-18
122683,4M ENTERPRISES REAL ESTATE AND BUILDERS (PRIVATE) LIMITED,Islamabad,Private Companies,FAISAL LATIF AND COMPANY,29-Oct-19
130961,4M GOLF CONSTRUCTION (PRIVATE) LIMITED,Lahore,Private Companies,INAAM UL HAQ AND CO,20-Sep-19
125676,4MATIC VALVE AUTOMATION (PRIVATE) LIMITED,Lahore,Private Companies,Azim and Co.,27-Mar-19
99037,4PL GLOBAL (PVT.) LIMITED,Karachi,Private Companies,Sohail Ahmed And Company,26-Oct-18
78928,4PL SOLUTIONS (PVT.) LIMITED,Karachi,Private Companies,JUNAIDY SHOAIB ASAD CHARTERED ACCOUNTANTS,28-Oct-19
105026,4REAL BUSINESS (PVT.) LIMITED,Lahore,Private Companies,AURANG ZEB BUTT,17-Jan-17
76573,4S TELECOM (PVT.) LIMITED,Lahore,Private Companies,Latif and Company,6-Aug-11
108816,4S TRADERS (PRIVATE) LIMITED,Islamabad,Private Companies,KHURRAM AZIZ AND CO,31-Aug-18
124821,4SPEED PETROLEUM (PRIVATE) LIMITED,Faisalabad,Private Companies,"A. CHUGHTAI AND CO., CHARTERED ACCOUNTANTS",28-Oct-19
104042,4SQUARE (PVT.) LIMITED,Lahore,Private Companies,ARSHAD AND CO.,28-Oct-17
120595,4STITCH (PRIVATE) LIMITED,Multan,Private Companies,M. Latif Farooqui and Co,17-Jun-18
51103,4TH DIMENSION (PRIVATE) LIMITED,Karachi,Private Companies,Awan and Co,31-Oct-13
87370,4TH DIMENSION CONSULTING (PVT.) LIMITED,Faisalabad,Private Companies,Mr. MUHAMMAD NASIR KHURSHEED,28-Oct-19
94881,4VS PHARMACEUTICAL (PVT.) LIMITED,Karachi,Private Companies,"MUNIFF ZIAUDDIN AND COMPANY, CHARTERED ACCOUNTANTS",31-Oct-16
59252,4W TECHNOLOGIES (PRIVATE) LIMITED,Karachi,Private Companies,HYDER AND CO. CA,31-Oct-08
62173,4WAY (PVT.) LIMITED,Lahore,Private Companies,MUHAMMAD AKRAM FURQAN AND CO. (LHR),1-Aug-07
96113,4XTRA PROJECTS LIMITED,Islamabad,Public Unlisted Companies,Z.Ahmed and Co,31-Oct-19
45796,5 A COMMUNICATION (PVT.) LIMITED,Lahore,Private Companies,"FORD RHODES SIDAT HYDER AND CO., C.A.",29-Jul-03
71152,5 I CREATIONS (PVT.) LIMITED,Karachi,Private Companies,SS.Associates,31-Oct-12
82636,5 PEARLS (PVT.) LIMITED,Lahore,Private Companies,SH. ASGHAR MANZOOR AND CO,27-Oct-18
91051,5 STAR AVIATION (PVT.) LIMITED,Karachi,Private Companies,M/S SALAHUDDIN AND CO.,31-Oct-19
59642,5 STAR MINTECH INDUSTRIES (PRIVATE) LIMITED,Islamabad,Private Companies,W. A. ASSOCIATES,5-Mar-07
56755,5 STAR RESORTS & HOTELS INTERNATIONAL OFFICE (PVT.) LIMITED,Islamabad,Private Companies,W. A. ASSOCIATES,9-Jun-06
69089,5 STAR SHIPPING AGENCY (PVT.) LIMITED,Karachi,Private Companies,HORIZON CONSULTANTS PROP TARIQ SHAKOOR,31-Oct-11
79266,56 SECURITY GUARDS (PVT.) LIMITED,Lahore,Private Companies,IQBAL ASSOCIATES,28-Oct-19
101098,5B HITECH (PVT.) LIMITED,Lahore,Private Companies,INAAM UL HAQ AND CO,28-Oct-18
114680,5B-MARKETING (PRIVATE) LIMITED,Quetta,Private Companies,AZIM AND CO. PROPRIETOR SALMAN AZIM,28-Oct-19
44047,5C ALLIANCE PAKISTAN (PVT.) LIMITED,Karachi,Private Companies,"FEROZ AZIZ AND CO., C.A.,",31-Oct-06
83848,5D SERVICES (PVT.) LIMITED,Lahore,Private Companies,INAAM UL HAQ AND CO,28-Oct-19
82197,5G BUSINESS SOLUTIONS (PVT.) LIMITED,Islamabad,Private Companies,IMRAN ABID,10-Jan-12
105816,5G HEALTHCARE (PRIVATE) LIMITED,Karachi,Private Companies,MOHAMMAD ADNAN SIDDIQUI AND CO,7-Dec-19
117145,5G PROPERTIES (PRIVATE) LIMITED,Islamabad,Private Companies,FAISAL LATIF AND CO,22-Oct-18
84079,5G TECH NETWORK (PVT.) LIMITED,Islamabad,Private Companies,YUSAF SAEED AND CO,31-Oct-14
95331,5GWIFI COMMUNICATION (SMC-PVT.) LIMITED,Peshawar,Single Member Companies,Intakhab Alam,25-Sep-15
71009,5M (PVT.) LIMITED,Karachi,Private Companies,MIRZA SHAKIR BAIG,31-Oct-17
50341,5TH ELEMENT (PRIVATE) LIMITED,Karachi,Private Companies,SALAHUDDIN AND CO CHARTERED ACCOUNTANTS,27-Oct-19
78648,6 AND 7 COMPANY (PVT.) LIMITED,Lahore,Private Companies,MANSOOR ASLAM SERAJ SALEEM SHAHID,5-Mar-12
90322,6666 DESIGNERS (PVT.) LIMITED,Lahore,Private Companies,Rafique Chaudhary and Co,3-Nov-14
83504,6M BUSINESS SOLUTIONS (PVT.) LIMITED,Islamabad,Private Companies,Zafar Qamar and Co,26-Oct-18
100459,6P2 ENGINEERING CONSULTANTS (PVT.) LIMITED,Lahore,Private Companies,JAVED JALAL AMJAD AND COMPANY,28-Jun-16
50125,7 DEVELOPERS (PVT.) LIMITED,Lahore,Private Companies,RIAZ AHMAD AND CO. CA (LHR),28-Oct-19
129794,7 KINGS ALLIANCE (SMC-PRIVATE) LIMITED,Lahore,Single Member Companies,A.CHUGHTAI AND CO,27-Mar-19
116459,7 LION (PRIVATE) LIMITED,Lahore,Private Companies,KARAMAT CHAUDHRI AND CO,24-Oct-19
117934,7 NEWS (PRIVATE) LIMITED,Karachi,Private Companies,Farrukh Mateen And Co,31-Oct-18
85891,7 OAKS PHARMA (SMC-PVT.) LIMITED,Islamabad,Single Member Companies,AZ AND CO,10-Dec-14
50508,7 SEA'S TRANSPORTATION & LOGISTICS (PRIVATE) LIMITED,Karachi,Private Companies,SIDDIQI AND CO. CA,21-Nov-06
