Sr. No.,CUIN,Company Name,Incorporation Date / Registration Date,CRO Name
4924,0024629,ALBION PAKISTAN INC.,7/20/91,Islamabad
4925,0027332,ACTERNA AUSTRIA GMBH,5/28/92,Islamabad
4926,0028697,LEAMOUNT,10/21/92,Islamabad
4927,0031807,KASKTAS KAYAR KALIP ALTYAPI SONDAJ KAZIK VE TECRIT A.S.,1/3/94,Islamabad
4928,0072184,INTERNATIONAL INSTITUTE OF SHARIAH COMPLIANCE (PVT.) LIMITED,4/13/10,Islamabad
4929,0039702,TITANIUM BUSINESS NETWORK (PRIVATE) LIMITED,12/7/98,Islamabad
4930,0042377,J&S SECURITY SERVICES (PRIVATE) LIMITED,5/7/01,Islamabad
4931,0025319,DAISY GARMENTS (PVT)LTD,10/5/91,Lahore
4932,0043002,MARS TRADING (PVT.) LIMITED,10/23/01,Islamabad
4933,0043010,CONVERGED NETWORK SOLUTIONS (PVT.) LIMITED,10/25/01,Islamabad
4934,0043041,JUPITER CHEMICAL INDUSTRIES (PVT.) LTD,11/1/01,Islamabad
4935,0045774,TRANSLIVIA (PVT.) LIMITED,7/23/03,Karachi
4936,0040629,SIGMA SYSTEMS (PRIVATE) LIMITED,10/15/99,Islamabad
4937,0042051,SHONAN TSUSHO (PRIVATE) LIMITED,1/25/01,Islamabad
4938,0041433,TECHNOLA INCORPORATION (PRIVATE) LIMITED,6/30/00,Islamabad
4939,0007972,GULSHAN-E-MERAJ (PVT) LTD.,8/9/80,Lahore
4940,0015265,"EXCELSIOR PLASTICS PVT LTD,",11/20/86,Lahore
4941,0014564,AZHAR IMPORTS & EXPORTS (PRIVATE) LIMITED.,6/5/86,Karachi
4942,0043101,ZAID SECURITY SERVICE (PRIVATE) LIMITED,11/20/01,Karachi
4943,0043099,E. INTELLIGENCE (PRIVATE) LIMITED,11/20/01,Karachi
4944,0043106,APVISION (PRIVATE) LIMITED,11/22/01,Karachi
4945,0020629,AL-MUKHLIS (PRIVATE) LIMITED.,11/28/89,Islamabad
4946,0033804,APPLIED EXCELLENCE (PRIVATE) LIMITED,12/7/94,Islamabad
4947,0042261,FOREX MANAGEMENT & CONSULTANTS (PRIVATE) LIMITED,3/30/01,Karachi
4948,0014314,GULF CORPORATION ( PRIVATE ) LIMITED,4/9/86,Lahore
4949,0043012,SAFE FUELS (PRIVATE) LIMITED,10/25/01,Karachi
4950,0043014,ASIAN PACIFIC EXHIBITOR INTERNATIONAL ASSOCIATES (PVT.) LIMITED,10/26/01,Karachi
4951,0043018,GLOBAL OIL & COMMODDITIES (PRIVATE) LIMITED,10/29/01,Karachi
4952,0045733,RAIN GRAFIX (PVT.) LIMITED,7/16/03,Islamabad
4953,0039851,AL-SAIF SECURITY SERVICES (PRIVATE) LIMITED,2/9/99,Karachi
4954,0040785,ALLIED PROTECTORS (PRIVATE) LIMITED,12/14/99,Karachi
4955,0004679,GREEN DAIRIES LIMITED,2/8/75,Lahore
4956,0009666,GUJRANWALA PIPE STORE (PVT) LTD,8/5/82,Lahore
4957,0034028,GENERAL BEVERAGE ASIA (PVT) LTD,1/10/95,Lahore
4958,0000882,FAZL BROS. (PRIVATE) LIMITED,7/22/57,Karachi
4959,0064218,EMAAN LOGISTICS (PVT.) LIMITED,1/31/08,Lahore
4960,0043540,ETEL (PVT.) LIMITED,4/5/02,Islamabad
4961,0043638,PAK YASHIMA INTERNATIONAL (PRIVATE) LIMITED,4/30/02,Islamabad
4962,0004032,ELITE INTERNATIONAL (PRIVATE) LIMITED,5/23/73,Karachi
4963,0034624,USMETA PAKISTAN (PRIVATE) LIMITED,4/18/95,Karachi
